pagina,precio,mantenimiento,direccion,ubicacion,area,dorm,banios,estac,URL,fecha_publicacion,fecha_publicacion_exacta,visualizaciones,inmobiliaria,antiguedad_inmueble
1,"S/ 402,000 · USD 120,000",,Cercado DE Lima,"Lima Cercado, Lima",94 m² tot.,5 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-venta-en-2do-piso-perfecto-para-airbnb-149119383.html?n_src=Listado&n_pg=1&n_pos=11,Publicado hace 62 días,2026-02-28,97 visualizaciones,REMAX PRINCIPAL,10 años
1,"S/ 2,915,500 · USD 850,000",,"Av. Argentina 798, Lima 15079, Perú","Lima Cercado, Lima",1133 m² tot.,,,1 estac.,https://www.adondevivir.com/propiedades/clasificado/vecllcin-venta-de-edificio-cercado-de-lima-av-argentina-149562051.html?n_src=Listado&n_pg=1&n_pos=12,Publicado hace 15 días,2026-04-16,19 visualizaciones,REMAX PRINCIPAL,10 años
1,"S/ 1,608,630 · USD 430,000",S/ 728 Mantenimiento,"Calle La Republica 833, San Isidro, Lima","El Olivar, San Isidro",135 m² tot.,3 dorm.,2 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin--vive-en-la-zona-mas-exclusiva-de-lima!-a-30-m-del-147472760.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=13,Publicado hace 242 días,2025-09-01,111 visualizaciones,Hito Inmobiliario,13 años
1,"S/ 1,747,200 · USD 520,000",S/ 600 Mantenimiento,"Calle Via Lactea, Cerca a la Universidad de Lima, Surco","Santiago de Surco, Lima",400 m² tot.,4 dorm.,4 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-de-exclusivo-duplex-de-400-m-sup2--a-espaldas-u-148545161.html?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=14,Publicado hace 122 días,2025-12-30,26 visualizaciones,REMAX PRINCIPAL,13 años
1,Consultar precio,,Terreno Comercial en Venta 1300m2 - Centro de Lima,"Centro De Lima, Lima Cercado",1303 m² tot.,,,,https://www.adondevivir.com/propiedades/clasificado/vecltein-terreno-comercial-en-venta-1-303-m-sup2--centro-de-145466737.html?n_src=Listado&n_pg=1&n_pos=15,Publicado hace más de 1 año,,71 visualizaciones,NAI PERU,A estrenar
1,"S/ 22,070,880 · USD 6,288,000",,"Av. Óscar R. Benavides 832, Lima 15082, Perú","Lima Cercado, Lima",5240 m² tot.,,,,https://www.adondevivir.com/propiedades/clasificado/vecltein-venta-de-terreno-para-proyectos-inmobiliarios-de-5-240-147542115.html?n_src=Listado&n_pg=1&n_pos=16,Publicado hace 235 días,2025-09-08,64 visualizaciones,REMAX PRINCIPAL,26 años
1,"S/ 21,001,920 · USD 6,288,000",,"Avenida Mariscal Óscar Raimundo Benavides 828, Lima 15082, Perú","Lima Cercado, Lima",5240 m² tot.,,,,https://www.adondevivir.com/propiedades/clasificado/veclniin-venta-de-local-para-almacenes-de-5-240-m-sup2--av-149184439.html?n_src=Listado&n_pg=1&n_pos=17,Publicado hace 56 días,2026-03-06,25 visualizaciones,REMAX PRINCIPAL,26 años
1,"S/ 3,600,000 · USD 1,045,000",,Lima,"Balconcillo, La Victoria",418 m² tot.,,6 baños,6 estac.,https://www.adondevivir.com/propiedades/clasificado/vecllcin-centro-operativo-de-alto-rendimiento:-1-220-m-sup2--de-149416049.html?n_src=Listado&n_pg=1&n_pos=18,Publicado hace 31 días,2026-03-31,54 visualizaciones,Real Estate K & M,13 años
1,"S/ 190,000 · USD 56,547",,Pedro Garezon,"Lima Cercado, Lima",63 m² tot.,3 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-cercado-de-lima-148333361.html?n_src=Listado&n_pg=1&n_pos=19,Publicado hace 151 días,2025-12-01,126 visualizaciones,REMAX PRINCIPAL,A estrenar
1,"S/ 350,000 · USD 104,155",,Calle Porras Barrenechea al 2061,"Lima Cercado, Lima",98 m² tot.,,1 baño,,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-cercado-de-lima-148547590.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=20,Publicado hace 121 días,2025-12-31,86 visualizaciones,GRUPO RENTABILIZARME,35 años
1,"S/ 7,770,000 · USD 2,220,000",,"Los Alamos - Casa de 1,000m2 con Piscina en Surco, Impecable Cerca a la U. Lima","Santiago de Surco, Lima",1250 m² tot.,3 dorm.,5 baños,4 estac.,https://www.adondevivir.com/propiedades/clasificado/veclcain-casa-en-venta-de-1-250-m-sup2--con-jardin-y-piscina-149481168.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=21,Publicado hace 23 días,2026-04-08,70 visualizaciones,DMAYO REAL ESTATE,30 años
1,"S/ 448,000 · USD 129,855",,Flat de 1 Dormitorio De39m2 + Cochera de en Surco Cerca a la Universidad de Lima Av. El Derby,"Santiago de Surco, Lima",39 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-de-1-dormitorio-cochera-en-surco-cerca-a-149669435.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=22,Publicado hace 4 días,2026-04-27,18 visualizaciones,DMAYO REAL ESTATE,A estrenar
1,"S/ 770,500 · USD 230,000",,Jr. Cangallo 217,"Lima Cercado, Lima",106 m² tot.,12 dorm.,12 baños,,https://www.adondevivir.com/propiedades/clasificado/veclcain-venta-de-edificio-en-cercado-lima-145565903.html?n_src=Listado&n_pg=1&n_pos=23,Publicado hace más de 1 año,,90 visualizaciones,REMAX AHORA,24 años
1,"S/ 626,870 · USD 185,000",,Jirón Joaquín Capello,"Mirones Bajo, Lima Cercado",231 m² tot.,,,,https://www.adondevivir.com/propiedades/clasificado/vecltein-se-vende-terreno-en-cercado-de-lima-148458546.html?n_src=Listado&n_pg=1&n_pos=24,Publicado hace 137 días,2025-12-15,85 visualizaciones,Realty House,1 años
1,"S/ 418,250 · USD 119,500",,Calle Diego Quispe Tito al 100,"San Miguel, Lima",95 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-san-miguel-lima-149003807.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=25,Publicado hace 72 días,2026-02-18,136 visualizaciones,REMAX TALENTO,A estrenar
1,"S/ 969,000 · USD 285,000",,Pomalca al 200,"San Miguel, Lima",154 m² tot.,4 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/veclcain-casa-san-miguel-lima-148715195.html?n_src=Listado&n_pg=1&n_pos=26,Publicado hace 100 días,2026-01-21,302 visualizaciones,Honne Inmobiliaria,A estrenar
1,"S/ 23,936,000 · USD 6,800,000",,Cerca A JR Ayacucho,"Lima Cercado, Lima",650 m² tot.,,6 baños,,https://www.adondevivir.com/propiedades/clasificado/vecllcin-edificio-comercial-en-venta-en-el-centro-de-lima-149506570.html?n_src=Listado&n_pg=1&n_pos=27,Publicado hace 21 días,2026-04-10,29 visualizaciones,REMAX PRINCIPAL,25 años
1,"S/ 701,400 · USD 210,000",,Jr. Sta. Rosa 1349 al 1300,"Lima Cercado, Lima",125 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/veclcain-venta-de-casa-en-miroquezada-cercado-lima-148137736.html?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=28,Publicado hace 173 días,2025-11-09,74 visualizaciones,REMAX AHORA,76 años
1,"S/ 1,003,000 · USD 295,000",,"Delfos, Lima 15054","Santiago de Surco, Lima",126 m² tot.,4 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/veclcain-casa-en-santiago-de-surco-149180365.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=29,Publicado hace 56 días,2026-03-06,362 visualizaciones,REMAX AHORA,31 años
1,"S/ 630,000 · USD 180,000",,Asociación de Vivienda Los Huertos de La Molina,"La Molina, Lima",480 m² tot.,,,,https://www.adondevivir.com/propiedades/clasificado/vecltein-terreno-en-venta-semiconstruido-ubicado-en-la-molina-149714010.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=30,Publicado desde ayer,2026-04-30,,INMOBILIARIA LIMA PRIME,A estrenar
2,"S/ 1,018,000 · USD 295,000",,Jirón Noruega 2422,"Lima Cercado, Lima",160 m² tot.,7 dorm.,4 baños,,https://www.adondevivir.com/propiedades/clasificado/veclcain-casa-con-alto-potencial-de-inversion-en-cercado-de-149642104.html?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=2&n_pos=11,Publicado hace 7 días,2026-04-24,62 visualizaciones,RE CENTRAL Real Estate,48 años
2,"S/ 1,591,000 · USD 430,000",S/ 1 Mantenimiento,Jr. Junín 1080,"Lima Cercado, Lima",120 m² tot.,15 dorm.,12 baños,,https://www.adondevivir.com/propiedades/clasificado/vecllcin-vendo-almacen-de-5-pisos-en-el-centro-de-lima-148972083.html?n_src=Listado&n_pg=2&n_pos=12,Publicado hace 74 días,2026-02-16,34 visualizaciones,REMAX PRO,15 años
